387,197,948,305,1652,225
386,198,953,303,1646,219
384,199,958,302,1639,215
382,199,961,300,1632,208
362,181,942,278,1595,183
341,161,925,257,1561,159
317,141,904,234,1527,131
374,202,976,291,1605,187
371,201,979,287,1598,181
370,200,983,286,1592,176
368,201,987,283,1584,170
367,204,991,280,1580,164
365,205,993,278,1572,159
363,203,997,275,1566,155
361,205,1001,273,1559,151
359,204,1004,272,1546,147
356,204,1006,271,1534,141
354,204,1009,270,1534,137
351,204,1010,268,1531,132
349,204,1013,265,1523,127
290,146,947,206,1442,66
344,203,1019,261,1514,120
341,204,1021,258,1507,116
339,205,1023,257,1502,111
337,203,1026,255,1494,107
324,193,1017,242,1474,92
288,158,974,205,1424,53
325,197,1027,241,1469,87
332,205,1040,248,1476,92
329,205,1041,245,1471,89
325,204,1041,242,1465,86
323,205,1043,241,1459,82
321,204,1044,240,1455,78
319,204,1046,239,1450,75
260,145,975,180,1369,15
315,203,1050,237,1440,69
312,203,1051,234,1433,65
309,203,1053,232,1428,62
250,143,977,174,1348,1
304,201,1055,227,1421,57
303,199,1055,225,1414,55
301,199,1056,223,1410,51
299,198,1057,222,1406,49
295,197,1057,219,1400,45
293,197,1058,218,1396,43
291,198,1060,217,1392,41
288,197,1060,214,1389,38
251,162,1014,178,1336,0
261,173,1032,188,1349,10
280,195,1063,209,1375,29
278,196,1064,208,1371,28
276,195,1066,207,1367,26
273,194,1065,206,1361,25
272,194,1066,205,1359,24
270,193,1066,203,1355,20
267,192,1066,201,1349,18
265,192,1066,199,1345,15
261,191,1065,196,1341,13
259,191,1066,195,1337,12
257,190,1066,193,1333,10
254,190,1065,191,1329,8
253,189,1066,190,1327,6
249,188,1066,189,1323,4
247,188,1066,187,1319,2
244,187,1066,186,1315,0
241,186,1065,183,1310,0
240,185,1066,182,1308,0
239,185,1066,180,1303,0
178,127,989,123,1227,0
202,152,1023,147,1256,25
231,182,1066,176,1294,55
227,181,1064,175,1290,53
225,180,1064,174,1286,52
168,124,986,114,1208,0
220,178,1061,170,1278,55
216,177,1061,168,1275,53
213,176,1059,166,1270,50
192,156,1033,144,1241,32
209,176,1058,162,1264,50
207,175,1058,161,1262,48
206,175,1057,159,1259,46
203,175,1056,157,1254,45
201,174,1056,155,1251,45
198,173,1055,154,1248,43
196,172,1054,152,1245,41
194,172,1055,151,1242,41
191,171,1053,148,1237,39
189,170,1052,147,1234,38
174,154,1032,131,1213,23
140,122,990,99,1170,0
126,110,974,86,1152,0
179,166,1049,142,1223,54
177,165,1048,141,1219,53
176,163,1047,140,1217,52
175,163,1045,138,1214,52
172,161,1044,135,1211,51
114,107,971,79,1136,0
167,161,1042,131,1203,54
164,160,1041,130,1201,54
162,159,1041,129,1199,54
159,158,1040,127,1196,52
157,158,1040,126,1194,52
155,157,1039,125,1190,51
152,155,1038,123,1186,50
150,155,1038,122,1184,50
147,154,1036,120,1180,49
146,153,1036,117,1178,47
144,152,1036,116,1175,47
143,150,1034,114,1171,46
141,150,1032,113,1168,45
109,120,991,82,1128,15
107,120,988,82,1127,15
134,148,1024,110,1162,43
132,148,1024,109,1160,42
129,146,1022,107,1156,41
128,145,1021,105,1153,41
127,144,1020,104,1151,40
124,144,1018,101,1147,39
122,143,1017,100,1145,39
119,143,1015,98,1142,38
117,143,1014,96,1139,39
115,143,1014,95,1136,38
113,142,1011,94,1135,38
112,142,1010,92,1133,37
111,141,1009,91,1130,37
108,139,1008,88,1126,36
106,138,1007,86,1122,36
104,137,1007,84,1119,35
101,135,1006,82,1116,35
99,136,1005,81,1114,35
95,133,1002,79,1109,33
58,94,952,41,1058,0
64,101,962,49,1067,10
37,76,928,20,1032,0
88,131,997,76,1102,56
86,129,995,74,1099,55
83,129,994,71,1095,55
82,129,993,70,1094,54
80,128,991,69,1091,54
79,127,990,67,1089,53
79,127,990,66,1087,53
77,126,988,64,1085,52
76,126,987,63,1082,52
73,125,985,63,1080,52
71,124,983,61,1076,51
69,124,983,60,1074,51
15,67,913,4,998,0
12,62,907,1,989,0
13,65,911,1,992,0
63,120,976,53,1065,50
62,118,976,51,1062,50
60,118,975,50,1060,49
35,94,945,27,1023,28
23,82,931,17,1006,17
54,116,973,47,1052,48
52,114,971,46,1049,48
51,115,971,45,1047,48
49,114,969,44,1044,48
48,113,967,42,1041,48
47,112,966,41,1040,48
0,59,897,0,963,0
45,111,962,37,1036,47
45,112,962,37,1033,47
42,111,960,34,1027,47
41,111,960,33,1024,47
0,54,892,0,952,0
37,110,958,31,1018,47
35,110,957,29,1016,46
20,86,925,16,982,28
32,108,953,26,1009,45
31,108,952,25,1008,46
29,107,950,23,1006,44
28,106,949,21,1005,45
18,90,929,13,983,31
4,60,893,3,944,9
0,41,867,0,915,0
21,103,944,16,995,44
19,102,944,16,992,44
18,101,943,15,990,43
17,101,942,15,987,43
0,46,873,0,915,0
16,99,941,13,983,43
0,46,871,0,912,0
0,44,869,0,910,0
0,45,868,0,909,0
11,96,934,7,974,41
0,42,865,0,904,0
9,96,932,5,971,41
7,94,930,4,967,41
6,95,929,3,965,41
4,93,927,1,962,39
3,93,927,1,960,40
2,92,924,0,958,39
1,89,920,0,953,36
0,38,856,0,887,0
0,36,852,0,882,0
0,31,829,0,857,0
0,37,853,0,881,0
0,33,848,0,877,0
0,33,848,0,876,0
0,33,847,0,873,0
0,32,847,0,870,0
0,32,846,0,868,0
0,31,845,0,866,0
0,30,843,0,863,0
0,83,910,0,930,36
0,82,910,0,928,36
0,29,840,0,857,0
0,82,908,0,924,35
0,80,905,0,920,35
0,81,905,0,919,35
0,27,836,0,848,0
0,79,902,0,914,34
0,80,901,0,912,34
0,79,900,0,911,34
0,51,865,0,875,16
0,48,858,0,869,13
0,79,896,0,905,34
0,79,896,0,903,33
0,78,895,0,900,33
0,78,894,0,898,33
0,78,894,0,897,32
0,77,892,0,894,32
0,77,891,0,893,32
0,76,890,0,891,32
0,18,821,0,821,0
0,76,888,0,887,32
0,73,886,0,884,31
0,73,885,0,882,31
0,73,884,0,881,31
0,71,883,0,879,30
0,72,883,0,879,31
0,72,882,0,877,30
0,71,881,0,875,30
0,71,881,0,873,30
0,47,853,0,842,16
0,15,813,0,801,0
